2.Resultados_Preprocesamiento
Ruta,Carpeta,Sujeto,# Imagenes
Gatos_QUERY,ROSTRO_REDIMENSIONADO,25_Mono_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,10_Nala_Angora,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,1_Cat_Persa,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,6_Lupita_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,12_Nala_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,3_Lola_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,9_Serena_Atigrado,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,18_Gasper_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,8_Ramon_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,5_Kuroneko_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,35_Cheetara_Calico,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,32_Alfonso_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,44_Ody_Persa,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,37_Minina_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,41_Simba_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,28_Bambino_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,40_Lukitas_Europeo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,36_Niño_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,33_Tom2_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,31_Bless_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,52_Copito_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,58_Copito_Siames,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,54_Chispita_Calico,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,47_Casparito_Persa,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,46_Reichel_Persa,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,24_Felix_Criollo,1
Gatos_QUERY,ROSTRO_REDIMENSIONADO,11_Milly_Carey,1
