2.Resultados_Preprocesamiento
Ruta,Carpeta,Sujeto,# Imagenes
Perros_QUERY,ROSTRO_REDIMENSIONADO,14_Cody_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,3_Bandit_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,9_Bella_Theresa_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,7_Bailey_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,4_Apolo_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,8_Bella_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,13_Dakota_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,2_AmericanBully_Yoko,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,12_Blaxter_Pitbull,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,6_Bella_Kappel_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,15_Clara_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,27_Doris_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,28_Dina_BorderCollie,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,16_Chesnut_Criollo,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,18_Chloe_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,19_Bu_chan_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,23_Dante_Mixto,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,21_Capitan_PastorCollie,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,20_Canela_Criollo,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,25_Dakota_CNC_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,33_Eimmy_Beagle,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,30_Injun_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,37_Eve_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,32_Duke_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,29_Husky_Jonva,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,40_Kira_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,36_Goliath_BulldogIngles,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,38_Gracie_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,42_Landy_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,35_Dulce_Boxer,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,52_Meeshka_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,43_Luna_Labrador,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,51_Mardi_Pinscher,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,57_Mickey_Beagle,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,44_Koda_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,61_Morgan_Pitbull,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,64_Monty2_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,45_Lulu_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,60_Nala_Malamute,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,58_Nala2_Criollo,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,68_Paimei_Mixto,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,73_Orion_GranDanes,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,69_Peaches_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,76_Princesa2_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,65_Nikita_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,67_Newton_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,77_Philly_BulldogFrances,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,66_Noodles_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,72_Oreo_Chitzu,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,70_Oliver_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,88_Wilco_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,82_Ridley_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,87_Skipper_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,81_Rico_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,80_Santa_Criollo,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,86_Skye_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,85_Sarabi_MastinTibetano,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,84_Purcy_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,83_Roscoe_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,78_Rave_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,101_ZowieHusky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,91_Toby2_Schnauzer,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,89_Winston_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,92_Toby_BulldogFrances,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,100_Zeus_Rekel_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,99_Yoda_Pug,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,95_Taffy_Criollo,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,97_Tala_Husky,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,104_Orion_Pitbull,1
Perros_QUERY,ROSTRO_REDIMENSIONADO,98_Yago_Mixto,1
