# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,42139
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,41476
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,44882
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,52686
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,52535
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,52269
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,50468
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,41302
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,53782
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,50903
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,53803
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,53736
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,52029
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,48121
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,46795
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,60619
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_2.jpeg,12_Nala_Criollo,56301
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_4.jpeg,12_Nala_Criollo,46934
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_4.jpeg,5_Kuroneko_Criollo,51980
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_2.jpeg,5_Kuroneko_Criollo,47013
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_1.jpeg,5_Kuroneko_Criollo,56834
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_3.jpeg,5_Kuroneko_Criollo,60274
