# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,42421
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,58940
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,50423
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,60450
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,61671
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,63630
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,41454
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,43529
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,45507
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/44_Ody_Persa/44_Ody_Persa_1.jpeg,44_Ody_Persa,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_2/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,51211
