# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,41730
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,53182
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,51600
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,55003
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,62338
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,60786
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,44803
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,44607
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,45927
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,43501
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,62632
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/3_Lola_Criollo/3_Lola_Criollo_11.jpeg,3_Lola_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,45429
