# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,25830
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,25544
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,19112
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,19017
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,18176
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,16034
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,28277
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,18719
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,20865
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,18993
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,31304
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,15325
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,22061
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,25872
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,23931
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,24490
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/12_Nala_Criollo/12_Nala_Criollo_2.jpeg,12_Nala_Criollo,19895
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/12_Nala_Criollo/12_Nala_Criollo_4.jpeg,12_Nala_Criollo,14569
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/5_Kuroneko_Criollo/5_Kuroneko_Criollo_4.jpeg,5_Kuroneko_Criollo,33166
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/5_Kuroneko_Criollo/5_Kuroneko_Criollo_2.jpeg,5_Kuroneko_Criollo,18086
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/5_Kuroneko_Criollo/5_Kuroneko_Criollo_1.jpeg,5_Kuroneko_Criollo,25177
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/5_Kuroneko_Criollo/5_Kuroneko_Criollo_3.jpeg,5_Kuroneko_Criollo,26131
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/1_Cat_Persa/1_Cat_Persa_4.jpeg,1_Cat_Persa,56266
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/1_Cat_Persa/1_Cat_Persa_1.jpeg,1_Cat_Persa,53335
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/1_Cat_Persa/1_Cat_Persa_3.jpeg,1_Cat_Persa,27567
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/1_Cat_Persa/1_Cat_Persa_2.jpeg,1_Cat_Persa,29143
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_1.jpeg,3_Lola_Criollo,50824
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_3.jpeg,3_Lola_Criollo,43685
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_5.jpeg,3_Lola_Criollo,64475
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_15.jpeg,3_Lola_Criollo,29262
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_6.jpeg,3_Lola_Criollo,45257
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_7.jpeg,3_Lola_Criollo,52680
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_10.jpeg,3_Lola_Criollo,48604
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_4.jpeg,3_Lola_Criollo,39456
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_2.jpeg,3_Lola_Criollo,31437
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/54_Chispita_Calico/54_Chispita_Calico_1.jpeg,54_Chispita_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/3_Lola_Criollo/3_Lola_Criollo_16.jpeg,3_Lola_Criollo,63465
