# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,3689.5841229059947
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,3978.3564445635084
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,4057.6130914615305
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,5395.471434453157
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,5009.034338073558
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,5734.635210717418
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,4331.252705626861
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,3615.833237305061
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,4698.077904845768
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,4513.293143592603
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,4887.07530124102
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,4776.282026848917
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,5157.699390232044
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,4093.776129687602
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,4056.664023554329
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,7326.481897882502
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_2.jpeg,12_Nala_Criollo,5637.755847852938
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/12_Nala_Criollo/12_Nala_Criollo_4.jpeg,12_Nala_Criollo,4635.247134727554
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_4.jpeg,5_Kuroneko_Criollo,4763.398366712572
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_2.jpeg,5_Kuroneko_Criollo,4607.981445275143
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_1.jpeg,5_Kuroneko_Criollo,5441.356999866853
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/5_Kuroneko_Criollo/5_Kuroneko_Criollo_3.jpeg,5_Kuroneko_Criollo,6870.883058239312
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/1_Cat_Persa/1_Cat_Persa_4.jpeg,1_Cat_Persa,3719.286087409787
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/35_Cheetara_Calico/35_Cheetara_Calico_3.jpeg,35_Cheetara_Calico,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_151/1_Cat_Persa/1_Cat_Persa_1.jpeg,1_Cat_Persa,3676.9558060983
