# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,3987.7361999008913
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,4992.272829082962
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,4529.946798804595
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,4668.621959422288
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,4993.156316399478
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,4771.101130766356
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,4471.649919213265
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,4143.826613168075
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,4220.046800688353
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/58_Copito_Siames/58_Copito_Siames_3.jpeg,58_Copito_Siames,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_3/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,3678.840714138083
