# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,3921.5782537136756
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,4676.207972278393
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,4227.617532369739
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,4207.418091894363
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,4283.1704378882705
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,5147.297543371667
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,4290.161069237378
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,4257.362563841609
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,3462.4661731199626
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,3563.996773286979
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,3930.9606968271764
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,3579.712278940865
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,3443.742441008038
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,3943.242193931283
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,3292.1284908095554
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/31_Bless_Criollo/31_Bless_Criollo_3.jpeg,31_Bless_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,4782.1813014564805
