# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,3377.9162215780307
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,4745.807096796076
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,3658.8104624317452
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,4941.309037087237
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,4796.239255917078
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,5270.073813524817
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,3249.53719781756
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,2104.440068046605
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,4223.428938670568
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,3610.19957897067
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,4130.65588012364
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,4027.530508885066
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,3937.6932333537616
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,2872.8005499860237
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,3755.8772610403553
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,5534.184131378355
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_2.jpeg,12_Nala_Criollo,5483.375146750403
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/12_Nala_Criollo/12_Nala_Criollo_4.jpeg,12_Nala_Criollo,4219.830091366239
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/5_Kuroneko_Criollo/5_Kuroneko_Criollo_4.jpeg,5_Kuroneko_Criollo,3957.6851820224406
4.Resultados_ext_caracteristicas/Eigen_Gatos_QUERY/K_1/8_Ramon_Criollo/8_Ramon_Criollo_2.jpeg,8_Ramon_Criollo,4.Resultados_ext_caracteristicas/Eigen_Gatos/K_5/5_Kuroneko_Criollo/5_Kuroneko_Criollo_2.jpeg,5_Kuroneko_Criollo,3902.4893337458334
