# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,28103
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,26679
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,36670
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,37818
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,32212
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,52337
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,44167
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,41596
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,31851
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,61724
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,27580
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,27834
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,24294
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,36072
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,27894
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,36478
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,40411
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,48874
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,39782
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,29801
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,33003
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,49921
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,49199
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,26909
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,37339
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,32730
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,26593
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,27889
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,36060
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,27198
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,30692
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,21753
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,26811
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,29023
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,26506
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,28160
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,57424
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,57919
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/29_Husky_Jonva/29_Husky_Jonva_5.jpeg,29_Husky_Jonva,4.Resultados_ext_caracteristicas/Eigen_Perros/K_3/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,48521
