# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,25894
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,37408
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,43736
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,44408
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,41835
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,31817
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,26200
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,33749
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,29847
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,34565
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,36902
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,47559
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,39660
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,30872
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,29124
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,26385
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,21275
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,38745
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,28584
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,36270
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,31719
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,42367
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,28808
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,27444
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,27873
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,36163
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,50492
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,52651
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,39002
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,55251
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,39958
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,49881
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,49425
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,42842
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,44431
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,52437
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,42404
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,54602
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,50041
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_5.png,14_Cody_Pug,45905
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_3.png,14_Cody_Pug,59119
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/14_Cody_Pug/14_Cody_Pug_2.png,14_Cody_Pug,48116
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_3.png,8_Bella_Husky,59218
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_2.png,8_Bella_Husky,41070
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_1.png,8_Bella_Husky,52160
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_4.png,8_Bella_Husky,55381
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_5.png,8_Bella_Husky,59224
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_8.png,8_Bella_Husky,64779
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_6.png,8_Bella_Husky,40827
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/8_Bella_Husky/8_Bella_Husky_7.png,8_Bella_Husky,34919
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_5.png,9_Bella_Theresa_Husky,31188
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_2.png,9_Bella_Theresa_Husky,27126
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_4.png,9_Bella_Theresa_Husky,43354
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_7.png,9_Bella_Theresa_Husky,33855
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_6.png,9_Bella_Theresa_Husky,34009
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_1.png,9_Bella_Theresa_Husky,26447
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_8.png,9_Bella_Theresa_Husky,44807
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/12_Blaxter_Pitbull/12_Blaxter_Pitbull_5.jpeg,12_Blaxter_Pitbull,17251
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/12_Blaxter_Pitbull/12_Blaxter_Pitbull_4.jpeg,12_Blaxter_Pitbull,38265
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/12_Blaxter_Pitbull/12_Blaxter_Pitbull_1.JPG,12_Blaxter_Pitbull,22872
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/12_Blaxter_Pitbull/12_Blaxter_Pitbull_2.jpg,12_Blaxter_Pitbull,22886
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_3.jpeg,2_AmericanBully_Yoko,31325
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_1.jpeg,2_AmericanBully_Yoko,59638
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_5.jpeg,2_AmericanBully_Yoko,40215
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_8.jpeg,2_AmericanBully_Yoko,25918
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_4.jpeg,2_AmericanBully_Yoko,55242
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/2_AmericanBully_Yoko/2_AmericanBully_Yoko_7.jpeg,2_AmericanBully_Yoko,23686
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_1.png,6_Bella_Kappel_Husky,26186
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_3.png,6_Bella_Kappel_Husky,30790
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/66_Noodles_Pug/66_Noodles_Pug_4.png,66_Noodles_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_6.png,6_Bella_Kappel_Husky,36362
