# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,39435
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,39276
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,45006
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,44397
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,45141
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,34831
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,35081
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,40368
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,36668
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,33216
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,34933
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,53242
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,38323
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,38813
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,36250
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,35093
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,33954
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,37102
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,29366
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,36733
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,40982
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,36199
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,32406
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,43178
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/19_Bu_chan_Pug/19_Bu_chan_Pug_3.png,19_Bu_chan_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,36926
