# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,42679
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,42752
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,48126
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,48931
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,47113
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,39735
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,41117
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,45742
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,42690
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/70_Oliver_Pug/70_Oliver_Pug_4.png,70_Oliver_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,39232
