# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,39061
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,38876
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,44502
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,44023
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,44789
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,34265
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,34545
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,39808
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,35946
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,32512
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,34319
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,53130
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,37939
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,38177
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,35878
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,34883
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_50/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,33830
