# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,3504.0615006018375
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,3842.9643506022794
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,3423.447385312063
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,3345.1545554727363
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,3397.0657927099383
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,3172.4030324030396
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,2669.9005599460065
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,2954.891368561626
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,3568.8740521346504
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,5064.898123358455
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,3475.3930712942383
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,5971.920880252852
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,3791.1924245545756
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2873.7381578703375
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/32_Duke_Pug/32_Duke_Pug_7.png,32_Duke_Pug,4.Resultados_ext_caracteristicas/Eigen_Perros/K_2/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,3491.514284662172
