# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,2897.348097830152
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,2612.5550711898877
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,3111.2409099907386
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,3213.4469032489087
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,3024.5698867772917
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,1943.402943293027
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,2565.479292451997
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,2452.3808839574654
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,2678.732722762762
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,1544.746581158217
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,2932.608224771935
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,5578.840202049168
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,3158.62596709392
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2785.579472928389
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,2725.595347809355
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,2565.6198081555262
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,3204.9959438351866
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,2319.9112051973025
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,2252.5598771175873
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,2644.5784163075973
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,2978.76719466292
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,2116.7047503135623
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,2949.8991508185495
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,3660.126363938819
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,2623.8738536751343
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,3208.663896390521
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,3686.626235462445
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,3671.758298145454
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,4347.1846061560345
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,3892.194239757312
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,3027.4923616749224
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,3727.199350718982
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,3827.728046766123
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,3070.480418436177
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,3408.2907739804127
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,3952.0098684087316
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,2288.172414832414
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,4228.933317043437
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,3531.284610449857
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_5.png,14_Cody_Pug,4161.385947013327
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_3.png,14_Cody_Pug,3893.9486385929645
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/14_Cody_Pug/14_Cody_Pug_2.png,14_Cody_Pug,3235.7932566837458
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/8_Bella_Husky/8_Bella_Husky_3.png,8_Bella_Husky,4578.332993568729
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/8_Bella_Husky/8_Bella_Husky_2.png,8_Bella_Husky,4304.456527832521
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/8_Bella_Husky/8_Bella_Husky_1.png,8_Bella_Husky,4441.2441950426455
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/8_Bella_Husky/8_Bella_Husky_4.png,8_Bella_Husky,5173.628030695674
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/72_Oreo_Chitzu/72_Oreo_Chitzu_3.jpeg,72_Oreo_Chitzu,4.Resultados_ext_caracteristicas/Eigen_Perros/K_20/8_Bella_Husky/8_Bella_Husky_5.png,8_Bella_Husky,4622.369305886322
