# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,2197.5085892892434
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,2885.916145697931
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,3736.21385897542
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,3780.932953650461
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,3737.5303343250607
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,5322.168824830719
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,3294.9215468657217
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,3287.859333974007
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,2878.7287124701415
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,5353.0011208666865
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,3038.6855710981354
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,4547.950637375036
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,3218.3638700432866
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2560.9357664728727
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,3330.5792289029846
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/61_Morgan_Pitbull/61_Morgan_Pitbull_1.jpg,61_Morgan_Pitbull,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,2853.785380858203
