# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,2395.6500161751505
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,2164.7085254139874
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,2984.469969693111
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,2934.6415454020957
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,2628.1959592085213
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,5480.001277372114
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,3527.4692061023015
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,3169.091667970493
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,2590.943843467087
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,5334.047806309951
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,2373.286961157458
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,3774.303379433084
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,1847.2517424541788
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2658.6190024145994
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,2932.0015347881385
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,3134.484646636509
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,3323.6898170557374
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,4039.1095553351856
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,3119.362595146643
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,2915.003430529714
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/68_Paimei_Mixto/68_Paimei_Mixto_20.jpg,68_Paimei_Mixto,4.Resultados_ext_caracteristicas/Eigen_Perros/K_5/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,2979.0622685670737
