# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,4403.830945892451
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,4476.432954931862
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,4613.127138937318
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,4712.499549071596
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,5551.0009908123775
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,4717.781046212297
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,4367.8707627401245
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,4412.097687041845
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,4632.817932964774
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,3908.933869995756
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,4636.539442299612
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,6022.791462436667
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,4513.83661644947
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,4708.748559861739
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,4274.0597796474485
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,4183.572038342354
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,4035.88230750105
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,4430.9761904122215
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,3513.998577119803
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,4011.866647833649
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,4290.433777603379
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,4240.556920971584
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,3693.5388179901397
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,4996.887831440686
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,4077.128155945064
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,4385.1698940862025
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,5347.552150283343
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,5360.096174510304
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,5337.242171758745
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,5341.962373510319
4.Resultados_ext_caracteristicas/Eigen_Perros_QUERY/K_1/95_Taffy_Criollo/95_Taffy_Criollo_1.jpeg,95_Taffy_Criollo,4.Resultados_ext_caracteristicas/Eigen_Perros/K_545/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,5250.380271942215
