# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/8_Ramon_Criollo/8_Ramon_Criollo_3.jpeg,8_Ramon_Criollo,918.2940705460315
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/8_Ramon_Criollo/8_Ramon_Criollo_1.jpeg,8_Ramon_Criollo,1152.5168111572168
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/8_Ramon_Criollo/8_Ramon_Criollo_4.jpeg,8_Ramon_Criollo,3802.4202818731123
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/18_Gasper_Criollo/18_Gasper_Criollo_1.jpeg,18_Gasper_Criollo,1802.2130839609395
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/18_Gasper_Criollo/18_Gasper_Criollo_4.jpeg,18_Gasper_Criollo,1770.8359607823645
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/18_Gasper_Criollo/18_Gasper_Criollo_3.jpeg,18_Gasper_Criollo,2058.438000037893
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/18_Gasper_Criollo/18_Gasper_Criollo_5.jpeg,18_Gasper_Criollo,3057.6044544708525
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_2.jpeg,6_Lupita_Criollo,1307.4306864992882
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_3.jpeg,6_Lupita_Criollo,2180.166507402588
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_5.jpeg,6_Lupita_Criollo,1236.036811749553
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_10.jpeg,6_Lupita_Criollo,1207.2895261700899
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_6.jpeg,6_Lupita_Criollo,1258.5018871658476
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_9.jpeg,6_Lupita_Criollo,2112.3356740821287
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/6_Lupita_Criollo/6_Lupita_Criollo_8.jpeg,6_Lupita_Criollo,3477.8142561097193
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/12_Nala_Criollo/12_Nala_Criollo_5.jpeg,12_Nala_Criollo,1240.3652687817407
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/12_Nala_Criollo/12_Nala_Criollo_3.jpeg,12_Nala_Criollo,2101.475909926164
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/12_Nala_Criollo/12_Nala_Criollo_2.jpeg,12_Nala_Criollo,2096.117840198876
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/12_Nala_Criollo/12_Nala_Criollo_4.jpeg,12_Nala_Criollo,1265.739309652663
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/5_Kuroneko_Criollo/5_Kuroneko_Criollo_4.jpeg,5_Kuroneko_Criollo,2947.0822859228074
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/5_Kuroneko_Criollo/5_Kuroneko_Criollo_2.jpeg,5_Kuroneko_Criollo,2809.2319234979514
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/5_Kuroneko_Criollo/5_Kuroneko_Criollo_1.jpeg,5_Kuroneko_Criollo,2245.8895787638357
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/5_Kuroneko_Criollo/5_Kuroneko_Criollo_3.jpeg,5_Kuroneko_Criollo,3794.4683422055323
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/1_Cat_Persa/1_Cat_Persa_4.jpeg,1_Cat_Persa,956.2144111024472
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/1_Cat_Persa/1_Cat_Persa_1.jpeg,1_Cat_Persa,2588.469045594326
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/1_Cat_Persa/1_Cat_Persa_3.jpeg,1_Cat_Persa,906.5495022336066
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/1_Cat_Persa/1_Cat_Persa_2.jpeg,1_Cat_Persa,1376.0305229172789
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_1.jpeg,3_Lola_Criollo,4007.8196067188455
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_3.jpeg,3_Lola_Criollo,3878.0825158833327
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_5.jpeg,3_Lola_Criollo,3540.589781378238
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_15.jpeg,3_Lola_Criollo,3022.5881294016885
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_6.jpeg,3_Lola_Criollo,3463.645189680952
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_7.jpeg,3_Lola_Criollo,3406.7011903012567
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_10.jpeg,3_Lola_Criollo,2699.1500514050713
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_4.jpeg,3_Lola_Criollo,3558.238328161845
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_2.jpeg,3_Lola_Criollo,3804.8770019542026
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_16.jpeg,3_Lola_Criollo,3885.7481905033424
4.Resultados_ext_caracteristicas/LBPH_Gatos_QUERY/47_Casparito_Persa/47_Casparito_Persa_1.jpeg,47_Casparito_Persa,4.Resultados_ext_caracteristicas/LBPH_Gatos/3_Lola_Criollo/3_Lola_Criollo_13.jpeg,3_Lola_Criollo,3258.1143319411
