# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,12682
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,12991
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,13364
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,12957
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,12278
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,9141
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,11300
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,12447
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,11719
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,8314
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,22031
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,26311
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,22633
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,18929
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,12653
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,7916
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,8244
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,5996
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,6315
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,9088
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,8814
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,11500
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,7584
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/40_Kira_Husky/40_Kira_Husky_1.png,40_Kira_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,15645
