# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,12626
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,23715
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,22202
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,22119
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,20770
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,20229
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,18654
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,24905
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,24605
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,21452
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,19185
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,13967
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,18985
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,16329
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,24445
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,20508
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,22142
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,18712
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,18137
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,22908
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,22454
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,24760
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,20064
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,23687
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,14689
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,10553
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,12961
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,10052
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,14391
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,14756
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,11363
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,14103
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,14541
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,10078
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,11914
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,12561
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,23311
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,16838
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,21820
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_5.png,14_Cody_Pug,18688
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_3.png,14_Cody_Pug,24395
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_2.png,14_Cody_Pug,17676
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_3.png,8_Bella_Husky,14132
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_2.png,8_Bella_Husky,16664
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_1.png,8_Bella_Husky,17874
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_4.png,8_Bella_Husky,17046
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_5.png,8_Bella_Husky,21127
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_8.png,8_Bella_Husky,12069
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_6.png,8_Bella_Husky,20125
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_7.png,8_Bella_Husky,15910
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_5.png,9_Bella_Theresa_Husky,12641
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_2.png,9_Bella_Theresa_Husky,11881
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_4.png,9_Bella_Theresa_Husky,15983
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_7.png,9_Bella_Theresa_Husky,17655
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_6.png,9_Bella_Theresa_Husky,13126
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_1.png,9_Bella_Theresa_Husky,18130
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_8.png,9_Bella_Theresa_Husky,13813
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_5.jpeg,12_Blaxter_Pitbull,12731
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_4.jpeg,12_Blaxter_Pitbull,18159
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_1.JPG,12_Blaxter_Pitbull,28256
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_2.jpg,12_Blaxter_Pitbull,24411
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_3.jpeg,2_AmericanBully_Yoko,14400
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_1.jpeg,2_AmericanBully_Yoko,19806
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_5.jpeg,2_AmericanBully_Yoko,22915
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_8.jpeg,2_AmericanBully_Yoko,28612
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_4.jpeg,2_AmericanBully_Yoko,21858
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_7.jpeg,2_AmericanBully_Yoko,23403
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_1.png,6_Bella_Kappel_Husky,16729
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_3.png,6_Bella_Kappel_Husky,11265
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_6.png,6_Bella_Kappel_Husky,9747
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_7.png,6_Bella_Kappel_Husky,10956
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_2.png,6_Bella_Kappel_Husky,13216
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_8.png,6_Bella_Kappel_Husky,14758
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/42_Landy_Husky/42_Landy_Husky_4.png,42_Landy_Husky,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_5.png,6_Bella_Kappel_Husky,12241
