# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,12131
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,17004
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,16783
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,16932
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,16259
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,13658
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,14369
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,16800
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,15770
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,12853
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,19902
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,24642
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,20814
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,17572
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,16812
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,11821
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,12603
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,9085
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,9040
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,12837
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,12761
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,14801
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,11813
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,19784
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,7952
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,9838
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,15184
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,12525
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,10702
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,11785
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,11298
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,8942
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,17804
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,10353
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,13519
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,14338
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,16160
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,9461
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,16039
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_5.png,14_Cody_Pug,19663
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_3.png,14_Cody_Pug,25344
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_2.png,14_Cody_Pug,9935
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_3.png,8_Bella_Husky,9511
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_2.png,8_Bella_Husky,11243
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_1.png,8_Bella_Husky,11537
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_4.png,8_Bella_Husky,11511
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_5.png,8_Bella_Husky,12402
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_8.png,8_Bella_Husky,16118
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_6.png,8_Bella_Husky,11084
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_7.png,8_Bella_Husky,10479
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_5.png,9_Bella_Theresa_Husky,13442
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_2.png,9_Bella_Theresa_Husky,11246
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_4.png,9_Bella_Theresa_Husky,7334
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_7.png,9_Bella_Theresa_Husky,8440
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_6.png,9_Bella_Theresa_Husky,13907
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_1.png,9_Bella_Theresa_Husky,20277
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_8.png,9_Bella_Theresa_Husky,11370
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_5.jpeg,12_Blaxter_Pitbull,7040
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_4.jpeg,12_Blaxter_Pitbull,10512
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_1.JPG,12_Blaxter_Pitbull,20771
