# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,12414
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,16557
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,17438
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,17385
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,17802
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,13659
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,16048
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,16433
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,16141
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,13740
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,18647
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,23725
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,21225
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/81_Rico_Pug/81_Rico_Pug_3.png,81_Rico_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,17265
