# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,23736
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,4267
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,7736
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,7083
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,9986
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,8157
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,10264
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,4603
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,5013
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,6108
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,32121
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,34153
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/88_Wilco_Pug/88_Wilco_Pug_4.png,88_Wilco_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,31917
