# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,8815
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,26430
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,27815
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,27280
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,25233
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,22522
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,22805
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,27204
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,26432
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,23305
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,12574
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,19384
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,15812
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,14096
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,27346
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,22269
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,23371
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,18287
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,17596
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,23545
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,23349
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,26381
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,22257
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,29890
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,13442
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,12418
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,9318
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,13459
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,17158
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,8813
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,12542
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_4.png,4_Apolo_Husky,14366
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_7.png,4_Apolo_Husky,10898
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_8.png,4_Apolo_Husky,11863
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_5.png,4_Apolo_Husky,9689
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_3.png,4_Apolo_Husky,9968
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_7.png,14_Cody_Pug,26252
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_4.png,14_Cody_Pug,19793
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_1.png,14_Cody_Pug,25857
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_5.png,14_Cody_Pug,28259
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_3.png,14_Cody_Pug,34338
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/14_Cody_Pug/14_Cody_Pug_2.png,14_Cody_Pug,19725
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_3.png,8_Bella_Husky,16855
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_2.png,8_Bella_Husky,20245
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_1.png,8_Bella_Husky,21017
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_4.png,8_Bella_Husky,20471
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_5.png,8_Bella_Husky,23044
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_8.png,8_Bella_Husky,19008
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_6.png,8_Bella_Husky,21206
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/8_Bella_Husky/8_Bella_Husky_7.png,8_Bella_Husky,19257
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_5.png,9_Bella_Theresa_Husky,7126
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_2.png,9_Bella_Theresa_Husky,14844
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_4.png,9_Bella_Theresa_Husky,16340
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_7.png,9_Bella_Theresa_Husky,17374
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_6.png,9_Bella_Theresa_Husky,6653
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_1.png,9_Bella_Theresa_Husky,11937
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/9_Bella_Theresa_Husky/9_Bella_Theresa_Husky_8.png,9_Bella_Theresa_Husky,9810
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_5.jpeg,12_Blaxter_Pitbull,14218
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_4.jpeg,12_Blaxter_Pitbull,20558
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_1.JPG,12_Blaxter_Pitbull,31383
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/12_Blaxter_Pitbull/12_Blaxter_Pitbull_2.jpg,12_Blaxter_Pitbull,27014
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_3.jpeg,2_AmericanBully_Yoko,15403
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_1.jpeg,2_AmericanBully_Yoko,21421
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_5.jpeg,2_AmericanBully_Yoko,26040
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_8.jpeg,2_AmericanBully_Yoko,32509
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_4.jpeg,2_AmericanBully_Yoko,23771
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/2_AmericanBully_Yoko/2_AmericanBully_Yoko_7.jpeg,2_AmericanBully_Yoko,25438
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_1.png,6_Bella_Kappel_Husky,20038
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_3.png,6_Bella_Kappel_Husky,14734
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_6.png,6_Bella_Kappel_Husky,12400
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_7.png,6_Bella_Kappel_Husky,12627
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_2.png,6_Bella_Kappel_Husky,10361
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_8.png,6_Bella_Kappel_Husky,16059
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_5.png,6_Bella_Kappel_Husky,16574
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/6_Bella_Kappel_Husky/6_Bella_Kappel_Husky_9.png,6_Bella_Kappel_Husky,10401
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/99_Yoda_Pug/99_Yoda_Pug_2.png,99_Yoda_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/23_Dante_Mixto/23_Dante_Mixto_1.jpeg,23_Dante_Mixto,31756
