# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,3958.3711296441115
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,956.142771765807
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,1587.4375578270788
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,1396.2596463408945
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,1263.1753639142903
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,1508.4757207194286
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,1764.3514389145944
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,1207.647713532386
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,1137.8457716228504
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,1383.7080616950961
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,4973.301418574989
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,5839.156189039646
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,4848.782012010852
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,4181.594074034447
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,1076.1510117079295
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,1696.8688812044377
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,1654.1813685324835
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,2283.9982486858435
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,2346.4132202150586
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,1888.6577244169998
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,1610.4769479877693
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,1482.2624598902855
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,1652.4091503014622
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,1561.2165128514366
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,2887.3183059718235
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,3344.441507935219
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/16_Chesnut_Criollo/16_Chesnut_Criollo_6.jpeg,16_Chesnut_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,3908.2690541977786
