# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,1737.1704003925463
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,2258.0726294785118
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,3346.0656000742124
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,3227.905822665835
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,2482.9883205524748
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,1837.3170657238234
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,1905.0010498684771
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,2225.8027765280553
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,2110.584279293296
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,1759.615014712025
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,3040.8048276730947
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,6015.870676801488
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,3131.7665941126584
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2555.721033289823
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,2363.108545962288
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,1670.0619748979377
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,1699.8785250717183
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,1289.0729226851365
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,1367.3792451255065
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,1856.3542226633365
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,1708.2256876654208
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,2139.3692995834076
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,1727.8868597220132
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_9.png,3_Bandit_Pug,3621.3665928762307
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_5.png,3_Bandit_Pug,1167.9263675420639
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_2.png,4_Apolo_Husky,1561.182244326395
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_1.png,4_Apolo_Husky,2421.061750554909
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_6.png,4_Apolo_Husky,2328.266522544187
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_12.png,4_Apolo_Husky,1922.474447164383
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_10.png,4_Apolo_Husky,2151.9681689095682
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/58_Nala2_Criollo/58_Nala2_Criollo_5.jpeg,58_Nala2_Criollo,4.Resultados_ext_caracteristicas/LBPH_Perros/4_Apolo_Husky/4_Apolo_Husky_11.png,4_Apolo_Husky,1853.9805824225884
