# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,2567.7048116946776
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,1863.1663908518744
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,2895.5786986369408
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,2878.9836748408284
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,2474.357290287722
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,1834.5214634885033
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,2182.0641603765916
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,1684.7691236486974
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,1843.8869271189055
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/65_Nikita_Pug/65_Nikita_Pug_3.png,65_Nikita_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,1563.7244002700731
