# Ruta Query,# Sujetos Query,# Ruta Dataset,# Sujetos Dataset,# Valor Distancia Euclidiana
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_3.png,13_Dakota_Husky,1892.929211566032
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_2.png,13_Dakota_Husky,3166.9979475838
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_1.png,13_Dakota_Husky,4009.7814154888792
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_6.png,13_Dakota_Husky,4010.1648345174044
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_4.png,13_Dakota_Husky,3502.508101346805
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_10.png,13_Dakota_Husky,2888.1357308824668
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_11.png,13_Dakota_Husky,3077.092946272504
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_8.png,13_Dakota_Husky,3138.9192407578757
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_9.png,13_Dakota_Husky,3191.0246003439083
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/13_Dakota_Husky/13_Dakota_Husky_7.png,13_Dakota_Husky,2798.769193770719
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_3.png,7_Bailey_Husky,2686.67601321782
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_5.png,7_Bailey_Husky,5988.622379145308
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_2.png,7_Bailey_Husky,3394.837256776825
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/7_Bailey_Husky/7_Bailey_Husky_1.png,7_Bailey_Husky,2664.493197589365
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_2.png,3_Bandit_Pug,3140.9594075696045
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_1.png,3_Bandit_Pug,2380.164910253069
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_3.png,3_Bandit_Pug,2630.3351497480317
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_10.png,3_Bandit_Pug,1792.718327010688
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_7.png,3_Bandit_Pug,1740.351688596302
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_12.png,3_Bandit_Pug,2295.7301670710344
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_11.png,3_Bandit_Pug,2674.9872896894294
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_8.png,3_Bandit_Pug,2779.7199499230132
4.Resultados_ext_caracteristicas/LBPH_Perros_QUERY/89_Winston_Pug/89_Winston_Pug_4.png,89_Winston_Pug,4.Resultados_ext_caracteristicas/LBPH_Perros/3_Bandit_Pug/3_Bandit_Pug_6.png,3_Bandit_Pug,2459.347677738957
